"Amplitude","X"
3.762217,1593
-12.119967,1594
-27.815353,1595
-43.082047,1596
-57.684746,1597
-71.398399,1598
-84.011635,1599
-95.330070,1600
-105.179260,1601
-113.407402,1602
-119.887680,1603
-124.520226,1604
-127.233635,1605
-127.986092,1606
-126.765991,1607
-123.592155,1608
-118.513481,1609
-111.608253,1610
-102.982895,1611
-92.770340,1612
-81.127983,1613
-68.235268,1614
-54.290894,1615
-39.509777,1616
-24.119726,1617
-8.357936,1618
7.532668,1619
23.307177,1620
38.722469,1621
53.540966,1622
67.534271,1623
80.486725,1624
92.198700,1625
102.489693,1626
111.201080,1627
118.198624,1628
123.374451,1629
126.648811,1630
127.971230,1631
127.321327,1632
124.709114,1633
120.174858,1634
113.788445,1635
105.648293,1636
95.879868,1637
84.633720,1638
72.083176,1639
58.421673,1640
43.859760,1641
28.621872,1642
12.942856,1643
-2.935638,1644
-18.768887,1645
-34.312866,1646
-49.328007,1647
-63.582893,1648
-76.857826,1649
-88.948212,1650
-99.667702,1651
-108.851097,1652
-116.356850,1653
-122.069283,1654
-125.900360,1655
-127.791031,1656
-127.712158,1657
-125.664955,1658
-121.680977,1659
-115.821617,1660
-108.177200,1661
-98.865524,1662
-88.030113,1663
-75.837959,1664
-62.476974,1665
-48.153080,1666
-33.087040,1667
-17.511055,1668
-1.665185,1669
14.206348,1670
29.858931,1671
45.051319,1672
59.549370,1673
73.129631,1674
85.582794,1675
96.716942,1676
106.360466,1677
114.364738,1678
120.606400,1679
124.989243,1680
127.445724,1681
127.937981,1682
126.458435,1683
123.029877,1684
117.705154,1685
110.566338,1686
101.723442,1687
91.312767,1688
79.494751,1689
66.451553,1690
52.384182,1691
37.509457,1692
22.056629,1693
6.263857,1694
-9.625455,1695
-25.366417,1696
-40.716427,1697
-55.438904,1698
-69.306946,1699
-82.106812,1700
-93.641228,1701
-103.732430,1702
-112.224876,1703
-118.987694,1704
-123.916641,1705
-126.935760,1706
-127.998512,1707
-127.088531,1708
-124.219826,1709
-119.436615,1710
-112.812622,1711
-104.449936,1712
-94.477448,1713
-83.048843,1714
-70.340279,1715
-56.547607,1716
-41.883415,1717
-26.573706,1718
-10.854435,1719
5.032125,1720
20.841129,1721
36.328926,1722
51.256813,1723
65.394714,1724
78.524742,1725
90.444527,1726
100.970360,1727
109.940018,1728
117.215256,1729
122.683937,1730
126.261795,1731
127.893677,1732
127.554428,1733
125.249283,1734
121.013763,1735
114.913155,1736
107.041481,1737
97.520058,1738
86.495636,1739
74.138123,1740
60.637974,1741
46.203259,1742
31.056448,1743
15.430990,1744
-0.432294,1745
-16.288916,1746
-31.894489,1747
-47.008499,1748
-61.397999,1749
-74.841225,1750
-87.130974,1751
-98.077843,1752
-107.513115,1753
-115.291374,1754
-121.292732,1755
-125.424698,1756
-127.623596,1757
-127.855522,1758
