
0
"59,54937"
"73,129631"
"85,582794"
"96,716942"
"106,360466"
"114,364738"
"120,6064"
"124,989243"
"127,445724"
"127,937981"
"126,458435"
"123,029877"
"117,705154"
"110,566338"
"101,723442"
"91,312767"
"79,494751"
"66,451553"
"52,384182"
"37,509457"
"22,056629"
"6,263857"
"-9,625455"
"-25,366417"
"-40,716427"
"-55,438904"
"-69,306946"
"-82,106812"
"-93,641228"
"-103,73243"
"-112,224876"
"-118,987694"
"-123,916641"
"-126,93576"
"-127,998512"
"-127,088531"
"-124,219826"
"-119,436615"
"-112,812622"
"-104,449936"
"-94,477448"
"-83,048843"
"-70,340279"
"-56,547607"
"-41,883415"
"-26,573706"
"-10,854435"
"5,032125"
"20,841129"
"36,328926"
"51,256813"
"65,394714"
"78,524742"
"90,444527"
"100,97036"
"109,940018"
"117,215256"
"122,683937"
"126,261795"
"127,893677"
"127,554428"
"125,249283"
"121,013763"
"114,913155"
"107,041481"
"97,520058"
"86,495636"
"74,138123"
"60,637974"
"46,203259"
"31,056448"
"15,43099"
"-0,432294"
"-16,288916"
"-31,894489"
"-47,008499"
"-61,397999"
"-74,841225"
"-87,130974"
"-98,077843"
"-107,513115"
"-115,291374"
"-121,292732"
"-125,424698"
"-127,623596"
"-127,855522"
"-126,116913"
"-122,434563"
"-116,865227"
"-109,494728"
"-100,436676"
"-89,830673"
"-77,840179"
"-64,649994"
"-50,463406"
"-35,499069"
"-19,987608"
"-4,168096"
"11,715657"
"27,418844"
"42,699448"
"57,321957"
"71,061005"
"83,704849"
"95,058609"
"104,947311"
"113,218536"
"119,744812"
"124,42556"
"127,188622"
"127,991432"
"126,821609"
"123,697174"
"118,666298"
"111,806511"
"103,223534"
"93,049652"
"81,441666"
"68,578484"
"54,658356"
"39,895821"
"24,518402"
"8,7631"
"-7,127261"
"-22,907776"
"-38,335232"
"-53,171852"
"-67,18898"
"-80,170578"
"-91,916565"
"-102,245911"
"-110,99942"
"-118,042183"
"-123,265656"
"-126,589325"
"-127,961975"
"-127,362442"
"-124,799973"
"-120,314056"
"-113,973839"
"-105,877022"
"-96,148407"
"-84,937935"
"-72,418373"
"-58,782688"
"-44,241032"
"-29,017519"
"-13,346783"
"2,529657"
"18,367109"
"33,921482"
"48,953053"
"63,230145"
"76,532722"
"88,655754"
"99,412407"
"108,636894"
"116,187042"
"121,946495"
"125,826477"
"127,767189"
"127,738731"
"125,741531"
"121,806374"
"115,993912"
"108,393723"
"99,12294"
"88,324463"
"76,164703"
"62,831074"
"48,529079"
"33,479145"
"17,913221"
"2,071215"
"-13,802713"
"-29,463911"
"-44,671005"
"-59,189617"
"-72,79599"
"-85,280411"
"-96,45047"
"-106,13401"
"-114,181793"
"-120,46978"
"-124,901062"
"-127,407333"
"-127,949982"
"-126,52063"
"-123,141312"
"-117,86412"
"-110,77037"
"-101,969414"
"-91,59687"
